origin_airport_code,origin_airport,origin_airport_id,origin_airport_latitude,origin_airport_longitude,origin_city,origin_country,destination_airport_code,destination_airport,destination_airport_id,destination_airport_latitude,destination_airport_longitude,destination_city,destination_country
ABE,Lehigh Valley International Airport,4355,40.65209961,-75.44080353,Allentown,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
ABQ,Albuquerque International Sunport,4019,35.040199,-106.609001,Albuquerque,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
ACV,California Redwood Coast-Humboldt County Airport,4384,40.978101,-124.109,Arcata CA,United States,CEC,Jack Mc Namara Field Airport,5727,41.78020096,-124.2369995,Crescent City,United States
ADD,Addis Ababa Bole International Airport,1107,8.977890015,38.799301147499996,Addis Ababa,Ethiopia,JED,King Abdulaziz International Airport,2072,21.6796,39.156502,Jeddah,Saudi Arabia
AKL,Auckland International Airport,2006,-37.0080986,174.7920074,Auckland,New Zealand,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
ALB,Albany International Airport,3864,42.74829864501953,-73.80169678,Albany,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
AMS,Amsterdam Airport Schiphol,580,52.308601,4.76389,Amsterdam,Netherlands,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
ANC,Ted Stevens Anchorage International Airport,3774,61.174400329589844,-149.9960022,Anchorage,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
ARN,Stockholm-Arlanda Airport,737,59.65190125,17.91860008,Stockholm,Sweden,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
ATL,Hartsfield Jackson Atlanta International Airport,3682,33.6367,-84.428101,Atlanta,United States,LGA,La Guardia Airport,3697,40.77719879,-73.87259674,New York,United States
AUA,Queen Beatrix International Airport,2895,12.5014,-70.015198,Oranjestad,Aruba,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,CUN,Cancún International Airport,1852,21.036500930800003,-86.87709808,Cancun,Mexico
AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
BAH,Bahrain International Airport,2057,26.27079963684082,50.63359832763672,Bahrain,Bahrain,DOH,Hamad International Airport,11051,25.273056,51.608056,Doha,Qatar
BDL,Bradley International Airport,3825,41.93889999,-72.68319702,Windsor Locks,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BFD,Bradford Regional Airport,5722,41.80310059,-78.64009857,Bradford,United States,JHW,Chautauqua County-Jamestown Airport,7059,42.15340042,-79.25800323,Jamestown,United States
BFS,Belfast International Airport,465,54.65750122,-6.215829849,Belfast,United Kingdom,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BHX,Birmingham International Airport,469,52.453899383499994,-1.748029947,Birmingham,United Kingdom,BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium
BJL,Banjul International Airport,1050,13.338000297546387,-16.6522007,Banjul,Gambia,DKR,Léopold Sédar Senghor International Airport,1084,14.739700317382812,-17.49020004,Dakar,Senegal
BKW,Raleigh County Memorial Airport,5724,37.787300109899995,-81.12419891,Beckley,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BNA,Nashville International Airport,3690,36.12450027,-86.67819977,Nashville,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BOG,El Dorado International Airport,2709,4.70159,-74.1469,Bogota,Colombia,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
BOI,Boise Air Terminal/Gowen Field,3495,43.5644,-116.223,Boise,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,PTY,Tocumen International Airport,1871,9.071359634,-79.38349915,Panama City,Panama
BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States,YYZ,Lester B. Pearson International Airport,193,43.67720032,-79.63059998,Toronto,Canada
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,BHX,Birmingham International Airport,469,52.453899383499994,-1.748029947,Birmingham,United Kingdom
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,JFK,John F Kennedy International Airport,3797,40.63980103,-73.77890015,New York,United States
BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
BTV,Burlington International Airport,3711,44.471900939899996,-73.15329742,Burlington,United States,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
BUF,Buffalo Niagara International Airport,3820,42.94049835,-78.73220062,Buffalo,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
BWI,Baltimore/Washington International Thurgood Marshall Airport,3849,39.1754,-76.668297,Baltimore,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
BWI,Baltimore/Washington International Thurgood Marshall Airport,3849,39.1754,-76.668297,Baltimore,United States,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
CAE,Columbia Metropolitan Airport,3561,33.93880081176758,-81.11949921,Columbia,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
CCS,Simón Bolívar International Airport,2851,10.601194,-66.991222,Caracas,Venezuela,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
CDR,Chadron Municipal Airport,7066,42.83760071,-103.0950012,Chadron,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
CHS,Charleston Air Force Base-International Airport,3806,32.89860153,-80.04049683,Charleston,United States,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
CID,The Eastern Iowa Airport,4043,41.884700775146484,-91.71080017,Cedar Rapids,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
CLD,Mc Clellan-Palomar Airport,4088,33.12829971,-117.2799988,Carlsbad,United States,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States,BNA,Nashville International Airport,3690,36.12450027,-86.67819977,Nashville,United States
CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States,CLT,Charlotte Douglas International Airport,3876,35.2140007,-80.94309998,Charlotte,United States
CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States,FKL,Venango Regional Airport,4058,41.37789917,-79.86039734,Franklin,United States
CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States,MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,3858,44.882,-93.221802,Minneapolis,United States
CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States,PKB,Mid Ohio Valley Regional Airport,4114,39.34510040283203,-81.43920135,PARKERSBURG,United States
CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
CLL,Easterwood Field,3715,30.58860016,-96.36380005,College Station,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
CLT,Charlotte Douglas International Airport,3876,35.2140007,-80.94309998,Charlotte,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
CMH,John Glenn Columbus International Airport,3759,39.998001,-82.891899,Columbus,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
CMH,John Glenn Columbus International Airport,3759,39.998001,-82.891899,Columbus,United States,YYZ,Lester B. Pearson International Airport,193,43.67720032,-79.63059998,Toronto,Canada
COS,City of Colorado Springs Municipal Airport,3819,38.805801,-104.700996,Colorado Springs,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
COS,City of Colorado Springs Municipal Airport,3819,38.805801,-104.700996,Colorado Springs,United States,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
CTS,New Chitose Airport,2287,42.77519989013672,141.69200134277344,Sapporo,Japan,GUM,Antonio B. Won Pat International Airport,2246,13.48340034,144.7960052,Agana,Guam
CUN,Cancún International Airport,1852,21.036500930800003,-86.87709808,Cancun,Mexico,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
CUU,General Roberto Fierro Villalobos International Airport,1797,28.702899932900003,-105.9649963,Chihuahua,Mexico,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
CVG,Cincinnati Northern Kentucky International Airport,3488,39.04880142,-84.6678009,Cincinnati,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
DAL,Dallas Love Field,3502,32.847099,-96.851799,Dallas,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
DAY,James M Cox Dayton International Airport,3627,39.902400970458984,-84.2193985,Dayton,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
DCA,Ronald Reagan Washington National Airport,3520,38.8521,-77.037697,Washington,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
DEL,Indira Gandhi International Airport,3093,28.5665,77.103104,Delhi,India,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,ANC,Ted Stevens Anchorage International Airport,3774,61.174400329589844,-149.9960022,Anchorage,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,BHM,Birmingham-Shuttlesworth International Airport,3811,33.56290054,-86.75350189,Birmingham,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,BOS,General Edward Lawrence Logan International Airport,3448,42.36429977,-71.00520325,Boston,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,CLE,Cleveland Hopkins International Airport,3486,41.4117012,-81.84980011,Cleveland,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,CUN,Cancún International Airport,1852,21.036500930800003,-86.87709808,Cancun,Mexico
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,DFW,Dallas Fort Worth International Airport,3670,32.896801,-97.038002,Dallas-Fort Worth,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,EGE,Eagle County Regional Airport,4250,39.64260101,-106.9179993,Vail,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,FAT,Fresno Yosemite International Airport,3687,36.77619934082031,-119.7180023,Fresno,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,FSD,Joe Foss Field Airport,4009,43.582000732400004,-96.74189758,Sioux Falls,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,GTF,Great Falls International Airport,3880,47.48199844,-111.3710022,Great Falls,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,HSV,Huntsville International Carl T Jones Field,4113,34.6371994,-86.77510071,Huntsville,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,IND,Indianapolis International Airport,3585,39.7173,-86.294403,Indianapolis,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,LAS,McCarran International Airport,3877,36.08010101,-115.1520004,Las Vegas,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,LIT,Bill & Hillary Clinton National Airport/Adams Field,3660,34.729400634799994,-92.22429657,Little Rock,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,MEM,Memphis International Airport,3473,35.04240036010742,-89.97669983,Memphis,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,MLI,Quad City International Airport,4072,41.44850158691406,-90.50749969,Moline,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,3858,44.882,-93.221802,Minneapolis,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,OKC,Will Rogers World Airport,3863,35.39310073852539,-97.60070038,Oklahoma City,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,PHL,Philadelphia International Airport,3752,39.87189865112305,-75.2410965,Philadelphia,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,PSC,Tri Cities Airport,6133,46.26470184326172,-119.1190033,Pasco,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,RDM,Roberts Field,4103,44.2541008,-121.1500015,Redmond-Bend,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,SAN,San Diego International Airport,3731,32.73360062,-117.1900024,San Diego,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,SFO,San Francisco International Airport,3469,37.61899948120117,-122.375,San Francisco,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,SJD,Los Cabos International Airport,1840,23.15180015563965,-109.7210007,San Jose Del Cabo,Mexico
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,TPA,Tampa International Airport,3646,27.975500106811523,-82.53320313,Tampa,United States
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,YEG,Edmonton International Airport,49,53.309700012200004,-113.5800018,Edmonton,Canada
DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States,YWG,Winnipeg / James Armstrong Richardson International Airport,160,49.909999847399995,-97.23989868,Winnipeg,Canada
DFW,Dallas Fort Worth International Airport,3670,32.896801,-97.038002,Dallas-Fort Worth,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
DFW,Dallas Fort Worth International Airport,3670,32.896801,-97.038002,Dallas-Fort Worth,United States,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
DGO,General Guadalupe Victoria International Airport,1801,24.12420082,-104.5279999,Durango,Mexico,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
DKR,Léopold Sédar Senghor International Airport,1084,14.739700317382812,-17.49020004,Dakar,Senegal,CKY,Conakry International Airport,4162,9.57689,-13.612,Conakry,Guinea
DLA,Douala International Airport,897,4.006080151,9.719479560849999,Douala,Cameroon,NSI,Yaoundé Nsimalen International Airport,4161,3.722559928894043,11.553299903869629,Yaounde,Cameroon
DOH,Hamad International Airport,11051,25.273056,51.608056,Doha,Qatar,FRA,Frankfurt am Main Airport,340,50.033333,8.570556,Frankfurt,Germany
DSM,Des Moines International Airport,3729,41.534000396728516,-93.6631012,Des Moines,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
DTW,Detroit Metropolitan Wayne County Airport,3645,42.212398529052734,-83.35340118,Detroit,United States,IAH,George Bush Intercontinental Houston Airport,3550,29.984399795532227,-95.34140015,Houston,United States
DUB,Dublin Airport,599,53.421299,-6.27007,Dublin,Ireland,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
DUS,Düsseldorf Airport,345,51.289501,6.76678,Duesseldorf,Germany,EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States
EBB,Entebbe International Airport,1187,0.042386,32.443501,Entebbe,Uganda,BRU,Brussels Airport,302,50.901401519800004,4.48443985,Brussels,Belgium
ELH,North Eleuthera Airport,1943,25.47489929,-76.6835022,North Eleuthera,Bahamas,PBI,Palm Beach International Airport,3722,26.68320083618164,-80.09559631,West Palm Beach,United States
EUG,Mahlon Sweet Field,4099,44.12459945678711,-123.211998,Eugene,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,AMS,Amsterdam Airport Schiphol,580,52.308601,4.76389,Amsterdam,Netherlands
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,AUS,Austin Bergstrom International Airport,3673,30.194499969482422,-97.66989899,Austin,United States
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,BNA,Nashville International Airport,3690,36.12450027,-86.67819977,Nashville,United States
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,BQN,Rafael Hernandez Airport,2885,18.49489974975586,-67.12940216,Aguadilla,Puerto Rico
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,BZE,Philip S. W. Goldson International Airport,1957,17.539100646972656,-88.30819702,Belize City,Belize
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,CMH,John Glenn Columbus International Airport,3759,39.998001,-82.891899,Columbus,United States
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,DEL,Indira Gandhi International Airport,3093,28.5665,77.103104,Delhi,India
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,DUB,Dublin Airport,599,53.421299,-6.27007,Dublin,Ireland
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,FRA,Frankfurt am Main Airport,340,50.033333,8.570556,Frankfurt,Germany
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,GSO,Piedmont Triad International Airport,4008,36.097801208496094,-79.93730164,Greensboro,United States
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,HKG,Hong Kong International Airport,3077,22.308901,113.915001,Hong Kong,Hong Kong
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,ITH,Ithaca Tompkins Regional Airport,3947,42.49100112915039,-76.45839691,Ithaca,United States
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,LIM,Jorge Chávez International Airport,2789,-12.0219,-77.114305,Lima,Peru
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,MBJ,Sangster International Airport,1780,18.503700256347656,-77.91339874,Montego Bay,Jamaica
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,MHT,Manchester-Boston Regional Airport,4011,42.932598,-71.435699,Manchester NH,United States
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,MSY,Louis Armstrong New Orleans International Airport,3861,29.99340057373047,-90.25800323,New Orleans,United States
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,NRT,Narita International Airport,2279,35.76470184,140.3860016,Tokyo,Japan
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,OSL,Oslo Lufthavn,644,60.121,11.0502,Oslo,Norway
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,PIT,Pittsburgh International Airport,3570,40.49150085,-80.23290253,Pittsburgh,United States
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,PUJ,Punta Cana International Airport,1760,18.567399978599997,-68.36340332,Punta Cana,Dominican Republic
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,RDU,Raleigh Durham International Airport,3626,35.877601623535156,-78.78749847,Raleigh-durham,United States
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,SAN,San Diego International Airport,3731,32.73360062,-117.1900024,San Diego,United States
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,SDQ,Las Américas International Airport,1762,18.42970085,-69.66889954,Santo Domingo,Dominican Republic
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,SJU,Luis Munoz Marin International Airport,2890,18.43939972,-66.00180054,San Juan,Puerto Rico
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,STT,Cyril E. King Airport,2883,18.337299346923828,-64.9733963,St. Thomas,Virgin Islands
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,TUL,Tulsa International Airport,3855,36.19839859008789,-95.88809967,Tulsa,United States
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,YEG,Edmonton International Airport,49,53.309700012200004,-113.5800018,Edmonton,Canada
EWR,Newark Liberty International Airport,3494,40.692501068115234,-74.16870117,Newark,United States,YUL,Montreal / Pierre Elliott Trudeau International Airport,146,45.47060013,-73.74079895,Montreal,Canada
EYW,Key West International Airport,3875,24.556100845336914,-81.75959778,Key West,United States,FLL,Fort Lauderdale Hollywood International Airport,3533,26.072599,-80.152702,Fort Lauderdale,United States
FAR,Hector International Airport,4292,46.92070007324219,-96.81580353,Fargo,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
FAY,Fayetteville Regional Grannis Field,5738,34.99119949,-78.88030243,Fayetteville,United States,IAD,Washington Dulles International Airport,3714,38.94449997,-77.45580292,Washington,United States
FIH,Ndjili International Airport,1020,-4.38575,15.4446,Kinshasa,Congo (Kinshasa),DLA,Douala International Airport,897,4.006080151,9.719479560849999,Douala,Cameroon
FLL,Fort Lauderdale Hollywood International Airport,3533,26.072599,-80.152702,Fort Lauderdale,United States,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
FLL,Fort Lauderdale Hollywood International Airport,3533,26.072599,-80.152702,Fort Lauderdale,United States,GGT,Exuma International Airport,1941,23.56259918,-75.87799835,Great Exuma,Bahamas
FLL,Fort Lauderdale Hollywood International Airport,3533,26.072599,-80.152702,Fort Lauderdale,United States,MHH,Leonard M Thompson International Airport,1930,26.5114,-77.083503,Marsh Harbor,Bahamas
FMN,Four Corners Regional Airport,3743,36.741199493399996,-108.2300034,Farmington,United States,ALS,San Luis Valley Regional Bergman Field,7073,37.434898,-105.866997,Alamosa,United States
FOE,Topeka Regional Airport - Forbes Field,3843,38.950901031499995,-95.66359711,Topeka,United States,ORD,Chicago O'Hare International Airport,3830,41.9786,-87.9048,Chicago,United States
FRA,Frankfurt am Main Airport,340,50.033333,8.570556,Frankfurt,Germany,DEN,Denver International Airport,3751,39.86169815,-104.6729965,Denver,United States
FRA,Frankfurt am Main Airport,340,50.033333,8.570556,Frankfurt,Germany,GYD,Heydar Aliyev International Airport,2922,40.467498779296875,50.04669952392578,Baku,Azerbaijan
FRA,Frankfurt am Main Airport,340,50.033333,8.570556,Frankfurt,Germany,LAX,Los Angeles International Airport,3484,33.94250107,-118.4079971,Los Angeles,United States
